f_id,f_user_id,f_mission_id,f_selected_option,f_is_correct,f_points_earned,f_submitted_at,f_created_at,f_updated_at
38205cc6-cd73-4f4b-bb38-ae7d617d10ec,be394897-8f75-483a-b7ab-96a9997bf4a2,69924ba0-2cb8-4293-9b2e-87d019d95b18,순자,null,0,2025-11-20 00:14:18.167+00,2025-11-20 00:14:19.654193+00,2025-11-20 00:14:19.654193+00
9dcccf5c-8f94-4d11-b6d8-9a569d0602bd,be394897-8f75-483a-b7ab-96a9997bf4a2,969643af-2ef2-4052-944f-dc5b425a9d81,"{""option"":""옥순""}",null,0,2025-11-20 01:00:00.123+00,2025-11-20 01:00:01.539796+00,2025-11-20 01:00:01.539796+00
2dcbf799-9a20-4a8f-8391-de744495187a,be394897-8f75-483a-b7ab-96a9997bf4a2,3f24ed44-90cf-47f5-a473-37beb69f96da,"{""option"":""상철""}",null,0,2025-11-20 01:08:43.197+00,2025-11-20 01:08:44.596617+00,2025-11-20 01:08:44.596617+00
5bcdd9b3-ded9-4eb4-b09d-e3bbb07e53ee,be394897-8f75-483a-b7ab-96a9997bf4a2,5e31ffbd-e2f2-4625-acc8-d7a76661fca4,"{""option"":""옥순의 눈물 플러팅""}",null,0,2025-11-20 01:18:37.777+00,2025-11-20 01:18:39.197831+00,2025-11-20 01:18:39.197831+00
374640be-972c-47ed-8523-5067e8b755bc,be394897-8f75-483a-b7ab-96a9997bf4a2,8d0ddb43-1d47-4188-aa2e-d927b1da582f,"{""option"":""탄생한다""}",null,0,2025-11-20 01:37:10.715+00,2025-11-20 01:37:12.085987+00,2025-11-20 01:37:12.085987+00
10df9b14-6f24-44d5-86b4-6368d07c15c2,be394897-8f75-483a-b7ab-96a9997bf4a2,ea0dd267-ed99-497b-bff9-000a6fc69bb1,"{""option"":""영자""}",null,0,2025-11-20 01:38:43.685+00,2025-11-20 01:38:45.056471+00,2025-11-20 01:38:45.056471+00
e8af727a-3a60-47d1-bb27-5ceb3fc5a981,be394897-8f75-483a-b7ab-96a9997bf4a2,200ccb0b-ff5b-4bd2-a1b3-233aa65b097e,"{""option"":""상철""}",null,0,2025-11-20 01:45:56.105+00,2025-11-20 01:45:57.465131+00,2025-11-20 01:45:57.465131+00
2687951f-5617-4635-86a5-f70cbe709ace,be394897-8f75-483a-b7ab-96a9997bf4a2,8d982720-c3ac-4392-a344-47ba03f284c2,"{""option"":""진심이다""}",null,0,2025-11-20 05:14:06.718+00,2025-11-20 05:14:06.561972+00,2025-11-20 05:14:06.561972+00
efc2bdef-2179-4fbd-b362-43231bf4f2ed,be394897-8f75-483a-b7ab-96a9997bf4a2,a371c428-de5b-421f-8c60-5a33d1087af5,"{""option"":""외모""}",null,0,2025-11-20 05:17:45.71+00,2025-11-20 05:17:45.520577+00,2025-11-20 05:17:45.520577+00
d9926019-02ff-4e8d-b045-0116b1605b94,be394897-8f75-483a-b7ab-96a9997bf4a2,2c091615-5b4a-4edf-b524-bf74cde95776,현숙,null,0,2025-11-28 02:01:52.052+00,2025-11-28 02:01:51.936011+00,2025-11-28 02:01:51.936011+00
